Step,Prompt_Variance,Test_Accuracy
0,0.0,97.607421875
1,0.075439453125,97.998046875
2,0.084716796875,97.802734375
3,0.08929443359375,98.046875
4,0.0909423828125,98.046875
5,0.0911865234375,97.36328125
6,0.1031494140625,97.94921875
7,0.1011962890625,97.705078125
8,0.0972900390625,97.998046875
9,0.09521484375,97.94921875
10,0.09307861328125,97.607421875
11,0.091064453125,97.265625
12,0.09063720703125,97.55859375
13,0.091796875,97.55859375
14,0.09283447265625,97.4609375
15,0.09210205078125,97.412109375
16,0.0904541015625,97.314453125
17,0.08929443359375,97.265625
18,0.08770751953125,97.36328125
19,0.0860595703125,97.36328125
