Wall time,Step,Value
1761634817.2603729,0,0.0
1761634871.9996903,1,0.1910400390625
1761634926.5423312,2,0.2099609375
1761634980.3587272,3,0.2042236328125
1761635040.364886,4,0.193115234375
1761635098.8777966,5,0.1796875
1761635157.6916442,6,0.1715087890625
1761635218.4757245,7,0.160888671875
1761635279.1037078,8,0.1531982421875
1761635339.9017906,9,0.14794921875
1761635400.9679456,10,0.1417236328125
1761635464.6625988,11,0.1375732421875
1761635523.6943367,12,0.135009765625
1761635581.839031,13,0.131591796875
1761635638.8380642,14,0.1278076171875
1761635695.7277644,15,0.1258544921875
1761635754.9892108,16,0.1229248046875
1761635811.414175,17,0.12078857421875
1761635867.8577037,18,0.1182861328125
1761635923.5435717,19,0.11578369140625
