Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/p/seed_2/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/p/seed_3/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/p/seed_1/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/a/seed_2/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/a/seed_3/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/a/seed_1/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/s/seed_2/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/s/seed_3/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/s/seed_1/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/c/seed_2/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/c/seed_3/warmup_1/log.txt
CLIP_LR,pacs,N/A,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/RN50/c/seed_1/warmup_1/log.txt
CLIP_LR,pacs,p,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CLIP_LR/pacs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
