Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
VPT,pacs,p,99.9,1,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/p/seed_2/warmup_1/log.txt
VPT,pacs,p,99.9,2,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/p/seed_3/warmup_1/log.txt
VPT,pacs,p,99.9,1,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
VPT,pacs,a,98.0,3,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/a/seed_2/warmup_1/log.txt
VPT,pacs,a,98.2,26,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/a/seed_3/warmup_1/log.txt
VPT,pacs,a,98.4,31,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
VPT,pacs,s,92.6,5,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/s/seed_2/warmup_1/log.txt
VPT,pacs,s,91.8,3,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/s/seed_3/warmup_1/log.txt
VPT,pacs,s,92.6,12,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
VPT,pacs,c,99.1,25,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/c/seed_2/warmup_1/log.txt
VPT,pacs,c,99.0,4,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/c/seed_3/warmup_1/log.txt
VPT,pacs,c,99.1,27,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/pacs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
VPT,vlcs,p,87.6,4,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/vlcs/b32_ep50/ViT-B16/p/seed_2/warmup_1/log.txt
VPT,vlcs,p,88.4,20,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/vlcs/b32_ep50/ViT-B16/p/seed_3/warmup_1/log.txt
VPT,vlcs,p,87.6,3,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/vlcs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
VPT,vlcs,s,82.6,13,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/vlcs/b32_ep50/ViT-B16/s/seed_2/warmup_1/log.txt
VPT,vlcs,s,82.6,20,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/vlcs/b32_ep50/ViT-B16/s/seed_3/warmup_1/log.txt
VPT,vlcs,s,81.8,33,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
VPT,vlcs,c,100.0,1,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/vlcs/b32_ep50/ViT-B16/c/seed_2/warmup_1/log.txt
VPT,vlcs,c,100.0,1,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/vlcs/b32_ep50/ViT-B16/c/seed_3/warmup_1/log.txt
