Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
CoOp,pacs,p,99.9,2.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/p/seed_2/warmup_1/log.txt
CoOp,pacs,p,99.9,1.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/p/seed_3/warmup_1/log.txt
CoOp,pacs,p,99.9,1.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
CoOp,pacs,a,98.1,3.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/a/seed_2/warmup_1/log.txt
CoOp,pacs,a,98.2,2.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/a/seed_3/warmup_1/log.txt
CoOp,pacs,a,98.4,13.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
CoOp,pacs,s,91.5,8.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/s/seed_2/warmup_1/log.txt
CoOp,pacs,s,92.1,1.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/s/seed_3/warmup_1/log.txt
CoOp,pacs,s,92.0,23.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,pacs,c,98.7,3.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/c/seed_2/warmup_1/log.txt
CoOp,pacs,c,99.0,11.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/c/seed_3/warmup_1/log.txt
CoOp,pacs,c,99.1,1.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/pacs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
CoOp,vlcs,p,87.4,2.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/vlcs/b32_ep50/ViT-B16/p/seed_2/warmup_1/log.txt
CoOp,vlcs,p,87.6,2.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/vlcs/b32_ep50/ViT-B16/p/seed_3/warmup_1/log.txt
CoOp,vlcs,p,86.8,3.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/vlcs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
CoOp,vlcs,s,79.2,9.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/vlcs/b32_ep50/ViT-B16/s/seed_2/warmup_1/log.txt
