Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
03_bootstrap_else_0,office_home,a,83.7,6,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_bootstrap_else_0/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
13_entropybaseweight_teacherlogits,office_home,a,84.1,37,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/13_entropybaseweight_teacherlogits/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
10_alphaoracle_studentlogits,office_home,a,83.4,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/10_alphaoracle_studentlogits/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
05_nouse_ema,vlcs,p,88.2,5,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema/TRIP/vlcs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
05_nouse_ema,vlcs,s,82.2,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema/TRIP/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
05_nouse_ema,vlcs,c,100.0,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema/TRIP/vlcs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
05_nouse_ema,vlcs,l,68.8,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema/TRIP/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
05_nouse_ema,office_home,r,91.1,15,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema/TRIP/office_home/b32_ep50/ViT-B16/r/seed_1/warmup_1/log.txt
05_nouse_ema,office_home,p,91.4,5,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema/TRIP/office_home/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
05_nouse_ema,office_home,a,84.1,31,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
05_nouse_ema,office_home,c,73.9,18,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema/TRIP/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
05_nouse_ema,terra_incognita,2,48.2,20,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
12_justnegativece,office_home,a,83.1,5,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/12_justnegativece/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
07_nouse_ema_and_0.0zeroshot_and_tau0.1_alpha0.9,terra_incognita,2,57.0,29,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/07_nouse_ema_and_0.0zeroshot_and_tau0.1_alpha0.9/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
03_optim,office_home,c,N/A,N/A,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_optim/TRIP/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
04_nonnegative,pacs,p,99.9,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/pacs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
04_nonnegative,pacs,a,98.3,29,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/pacs/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
04_nonnegative,pacs,s,90.4,15,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
04_nonnegative,pacs,c,99.3,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/pacs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
04_nonnegative,vlcs,p,89.4,15,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/vlcs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
04_nonnegative,vlcs,s,82.0,18,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
04_nonnegative,vlcs,c,100.0,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/vlcs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
04_nonnegative,vlcs,l,69.2,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
04_nonnegative,office_home,r,91.2,8,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/office_home/b32_ep50/ViT-B16/r/seed_1/warmup_1/log.txt
04_nonnegative,office_home,p,91.2,10,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/office_home/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
04_nonnegative,office_home,a,83.5,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
04_nonnegative,office_home,c,74.1,25,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
04_nonnegative,terra_incognita,4,37.9,27,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
04_nonnegative,terra_incognita,3,45.8,21,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
04_nonnegative,terra_incognita,2,45.6,10,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
04_nonnegative,terra_incognita,1,57.9,9,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/04_nonnegative/TRIP/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
07_nouse_ema_and_0.0zeroshot_and_tau0.1_alpha0.1,terra_incognita,2,52.7,3,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/07_nouse_ema_and_0.0zeroshot_and_tau0.1_alpha0.1/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
06_nouse_ema_and_0.0zeroshot_and_tau0.1,terra_incognita,2,56.8,29,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/06_nouse_ema_and_0.0zeroshot_and_tau0.1/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
03_bootstrap_else_0_ratio0.5,office_home,a,83.8,16,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_bootstrap_else_0_ratio0.5/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
02_oracle1.0,pacs,p,99.9,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/pacs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
02_oracle1.0,pacs,a,98.3,29,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/pacs/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
02_oracle1.0,pacs,s,90.4,15,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
02_oracle1.0,pacs,c,99.3,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/pacs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
02_oracle1.0,office_home,r,91.1,8,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/office_home/b32_ep50/ViT-B16/r/seed_1/warmup_1/log.txt
02_oracle1.0,office_home,p,91.2,5,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/office_home/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
02_oracle1.0,office_home,a,83.5,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
02_oracle1.0,office_home,c,74.1,22,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
02_oracle1.0,terra_incognita,4,38.1,27,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
02_oracle1.0,terra_incognita,3,45.8,21,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
02_oracle1.0,terra_incognita,2,45.5,10,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
02_oracle1.0,terra_incognita,1,58.0,19,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_oracle1.0/TRIP/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
03_dong,pacs,p,99.9,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/pacs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
03_dong,pacs,a,98.3,29,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/pacs/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
03_dong,pacs,s,90.4,15,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
03_dong,pacs,c,99.3,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/pacs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
03_dong,vlcs,p,89.4,15,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/vlcs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
03_dong,vlcs,s,82.0,18,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
03_dong,vlcs,c,100.0,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/vlcs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
03_dong,vlcs,l,69.2,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
03_dong,office_home,r,91.2,8,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/office_home/b32_ep50/ViT-B16/r/seed_1/warmup_1/log.txt
03_dong,office_home,p,91.2,10,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/office_home/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
03_dong,office_home,a,83.5,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
03_dong,office_home,c,74.1,25,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
03_dong,terra_incognita,4,37.9,27,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
03_dong,terra_incognita,3,45.8,21,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
03_dong,terra_incognita,2,45.6,10,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
03_dong,terra_incognita,1,57.9,9,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/03_dong/TRIP/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
05_nouse_ema_and_0.1zeroshot_and_tau0.1,terra_incognita,2,57.7,28,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/05_nouse_ema_and_0.1zeroshot_and_tau0.1/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
09_seperate_nontocorrect,office_home,r,91.1,27,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/09_seperate_nontocorrect/TRIP/office_home/b32_ep50/ViT-B16/r/seed_1/warmup_1/log.txt
09_seperate_nontocorrect,office_home,p,91.5,10,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/09_seperate_nontocorrect/TRIP/office_home/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
09_seperate_nontocorrect,office_home,a,83.3,2,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/09_seperate_nontocorrect/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
09_seperate_nontocorrect,office_home,c,74.7,21,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/09_seperate_nontocorrect/TRIP/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
09_seperate_nontocorrect,terra_incognita,2,56.8,29,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/09_seperate_nontocorrect/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
08_nouse_ema_and_0.0zeroshot_and_tau0.1_seperate,terra_incognita,2,56.8,29,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/08_nouse_ema_and_0.0zeroshot_and_tau0.1_seperate/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
11_alphaoracle_studentlogits_alpha0.5,office_home,a,83.9,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/11_alphaoracle_studentlogits_alpha0.5/TRIP/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
02_no_ce,vlcs,p,89.2,15,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_no_ce/TRIP/vlcs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
02_no_ce,vlcs,s,82.0,18,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_no_ce/TRIP/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
02_no_ce,vlcs,c,100.0,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_no_ce/TRIP/vlcs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
02_no_ce,vlcs,l,69.3,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_no_ce/TRIP/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
02_no_ce,office_home,r,91.2,8,/workspace/Soft-Prompt-Generation/icml/multi-dg/oracle/02_no_ce/TRIP/office_home/b32_ep50/ViT-B16/r/seed_1/warmup_1/log.txt
