Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
CoOp,pacs,p,99.9,1,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/p/seed_2/warmup_1/log.txt
CoOp,pacs,p,99.9,1,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/p/seed_3/warmup_1/log.txt
CoOp,pacs,p,99.9,1,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
CoOp,pacs,a,98.4,8,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/a/seed_2/warmup_1/log.txt
CoOp,pacs,a,98.6,8,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/a/seed_3/warmup_1/log.txt
CoOp,pacs,a,98.5,14,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
CoOp,pacs,s,91.1,4,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/s/seed_2/warmup_1/log.txt
CoOp,pacs,s,91.5,22,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/s/seed_3/warmup_1/log.txt
CoOp,pacs,s,91.3,13,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,pacs,c,99.1,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/c/seed_2/warmup_1/log.txt
CoOp,pacs,c,99.1,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/c/seed_3/warmup_1/log.txt
CoOp,pacs,c,99.1,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/pacs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
CoOp,vlcs,p,87.1,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/p/seed_2/warmup_1/log.txt
CoOp,vlcs,p,88.3,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/p/seed_3/warmup_1/log.txt
CoOp,vlcs,p,87.4,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
CoOp,vlcs,s,80.3,5,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/s/seed_2/warmup_1/log.txt
CoOp,vlcs,s,80.5,12,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/s/seed_3/warmup_1/log.txt
CoOp,vlcs,s,79.6,26,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,vlcs,c,100.0,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/c/seed_2/warmup_1/log.txt
CoOp,vlcs,c,100.0,9,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/c/seed_3/warmup_1/log.txt
CoOp,vlcs,c,100.0,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
CoOp,vlcs,l,64.9,30,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/l/seed_2/warmup_1/log.txt
CoOp,vlcs,l,68.3,1,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/l/seed_3/warmup_1/log.txt
CoOp,vlcs,l,66.9,1,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
CoOp,office_home,r,91.3,6,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/r/seed_2/warmup_1/log.txt
CoOp,office_home,r,91.4,6,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/r/seed_3/warmup_1/log.txt
CoOp,office_home,r,91.5,22,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/r/seed_1/warmup_1/log.txt
CoOp,office_home,p,91.9,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/p/seed_2/warmup_1/log.txt
CoOp,office_home,p,91.7,4,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/p/seed_3/warmup_1/log.txt
CoOp,office_home,p,91.7,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
CoOp,office_home,a,84.0,9,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/a/seed_2/warmup_1/log.txt
CoOp,office_home,a,84.2,22,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/a/seed_3/warmup_1/log.txt
CoOp,office_home,a,84.1,9,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
CoOp,office_home,c,74.4,11,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/c/seed_2/warmup_1/log.txt
CoOp,office_home,c,74.8,22,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/c/seed_3/warmup_1/log.txt
CoOp,office_home,c,75.0,12,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
CoOp,office_home,N/A,94.2,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/r/seed_2/warmup_1/log.txt
CoOp,office_home,N/A,94.1,6,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/r/seed_3/warmup_1/log.txt
CoOp,office_home,N/A,94.2,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/r/seed_1/warmup_1/log.txt
CoOp,office_home,N/A,94.7,41,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/p/seed_2/warmup_1/log.txt
CoOp,office_home,N/A,94.7,14,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/p/seed_3/warmup_1/log.txt
CoOp,office_home,N/A,94.7,8,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/p/seed_1/warmup_1/log.txt
CoOp,office_home,N/A,88.2,5,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/a/seed_2/warmup_1/log.txt
CoOp,office_home,N/A,87.5,3,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/a/seed_3/warmup_1/log.txt
CoOp,office_home,N/A,87.9,11,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/a/seed_1/warmup_1/log.txt
CoOp,office_home,N/A,82.1,6,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/c/seed_2/warmup_1/log.txt
CoOp,office_home,N/A,82.2,9,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/c/seed_3/warmup_1/log.txt
CoOp,office_home,N/A,82.3,3,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/c/seed_1/warmup_1/log.txt
CoOp,terra_incognita,4,47.6,35,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/4/seed_2/warmup_1/log.txt
CoOp,terra_incognita,4,47.1,28,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/4/seed_3/warmup_1/log.txt
