step,train/mf_minDist_mean,train/mf_maxW_mean,train/mf_entropy_mean,train/prompt_utilization/p0,train/prompt_utilization/p1,train/prompt_utilization/p2,train/acc_per_prompt/p0,train/acc_per_prompt/p1,train/acc_per_prompt/p2,train/acc_top_prompt,train/weighted_margin_mean,train/mf_sqdist_mean_all
0,0.002902984619140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6153846383094788,0.6153846383094788,0.6153846383094788,0.6153846383094788,1.0517578125,0.0031147003173828125
50,0.0028476715087890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.7000000476837158,0.7000000476837158,0.7000000476837158,0.7000000476837158,1.0673828125,0.0030994415283203125
100,0.0028095245361328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.7307692766189575,0.7307692766189575,0.7307692766189575,0.7307692766189575,1.818359375,0.003124237060546875
150,0.002864837646484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,1.5322265625,0.0031528472900390625
200,0.0028667449951171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.53125,0.53125,0.53125,0.53125,1.37890625,0.0031337738037109375
250,0.00284576416015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6333333849906921,0.6333333849906921,0.6333333849906921,0.6333333849906921,1.560546875,0.0031261444091796875
300,0.00284576416015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,1.8818359375,0.0032176971435546875
350,0.00283050537109375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.3671875,0.0033130645751953125
400,0.0026493072509765625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.4921875,0.0031299591064453125
450,0.002651214599609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.0,0.00316619873046875
500,0.0026149749755859375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.201171875,0.00319671630859375
550,0.002674102783203125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,2.4453125,0.003170013427734375
600,0.0026836395263671875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.40234375,0.0031871795654296875
650,0.0026378631591796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.953125,0.00322723388671875
700,0.00269317626953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.3671875,0.0031604766845703125
750,0.0026988983154296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.373046875,0.0031528472900390625
800,0.002696990966796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.07421875,0.0031604766845703125
850,0.0026950836181640625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.70703125,0.0032291412353515625
900,0.0026416778564453125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.171875,0.0031871795654296875
950,0.0025844573974609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.912109375,0.0031490325927734375
1000,0.002704620361328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.66796875,0.003208160400390625
1050,0.00261688232421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.162109375,0.003177642822265625
1100,0.0027103424072265625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.681640625,0.0031871795654296875
1150,0.0026607513427734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.189453125,0.003139495849609375
1200,0.002643585205078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.59375,0.59375,0.59375,0.59375,2.802734375,0.0031642913818359375
1250,0.0025634765625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.697265625,0.003185272216796875
1300,0.0026378631591796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.822265625,0.003204345703125
1350,0.002655029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.328125,0.003154754638671875
1400,0.002590179443359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.84765625,0.00316619873046875
1450,0.0026607513427734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.021484375,0.0031833648681640625
